"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"func@0x140311af2","0.000499998","3225600","0.666667","ntoskrnl.exe","func@0x140311af2","[Unknown]","0x140311af2"
"ExAcquireAutoExpandPushLockShared","0.000499998","5913600","0.566667","ntoskrnl.exe","ExAcquireAutoExpandPushLockShared","[Unknown]","0x140314840"
"KeEnumerateNextProcessor","0.000499998","5913600","0.306452","ntoskrnl.exe","KeEnumerateNextProcessor","[Unknown]","0x140408580"
"func@0x140314fe1","0.000499998","5376000","0.375","ntoskrnl.exe","func@0x140314fe1","[Unknown]","0x140314fe1"
"func@0x14041bb67","0.000499998","13440000","0.452381","ntoskrnl.exe","func@0x14041bb67","[Unknown]","0x14041bb67"
"stbiw__putc","0.000499998","1075200","0.0714286","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x140024ac8"
"ExReleaseResourceLite","0.000499998","1075200","0.0833333","ntoskrnl.exe","ExReleaseResourceLite","[Unknown]","0x1402801f0"
"func@0x1406bf883","0.000499998","1612800","0.166667","ntoskrnl.exe","func@0x1406bf883","[Unknown]","0x1406bf883"
"[Outside any known module]","0.000499998","1075200","0.214286","[Unknown]","[Outside any known module]","[Unknown]","0"
"func@0x1401c0900","0.000499998","537600","0","atc.sys","func@0x1401c0900","[Unknown]","0x1401c0900"
"func@0x1402fd9ef","0.000499998","1612800","0.178571","ntoskrnl.exe","func@0x1402fd9ef","[Unknown]","0x1402fd9ef"
"func@0x1402fe397","0.000499998","6451200","0.285714","ntoskrnl.exe","func@0x1402fe397","[Unknown]","0x1402fe397"
"ExReleaseRundownProtectionCacheAwareEx","0.000499998","4838400","0.375","ntoskrnl.exe","ExReleaseRundownProtectionCacheAwareEx","[Unknown]","0x14027f3a0"
"func@0x18006cb10","0.000399998","1075200","0.1","ntdll.dll","func@0x18006cb10","[Unknown]","0x18006cb10"
"func@0x140267660","0.000399998","5376000","0.2","ntoskrnl.exe","func@0x140267660","[Unknown]","0x140267660"
"func@0x14026c440","0.000399998","1075200","0","atc.sys","func@0x14026c440","[Unknown]","0x14026c440"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000399998","5376000","0.71875","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e921"
"func@0x1402a00f0","0.000399998","2688000","0.142857","ntoskrnl.exe","func@0x1402a00f0","[Unknown]","0x1402a00f0"
"ExAcquireRundownProtectionCacheAwareEx","0.000399998","3225600","0.075","ntoskrnl.exe","ExAcquireRundownProtectionCacheAwareEx","[Unknown]","0x140408170"
"func@0x1400142ad","0.000399998","0","0","wdf01000.sys","func@0x1400142ad","[Unknown]","0x1400142ad"
"func@0x1402a1518","0.000399998","0","0","ntoskrnl.exe","func@0x1402a1518","[Unknown]","0x1402a1518"
"stbiw__putc","0.000399998","2150400","0.1875","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x14002464b"
"func@0x14029e750","0.000399998","1075200","0.5","ntoskrnl.exe","func@0x14029e750","[Unknown]","0x14029e750"
"KeClockInterruptNotify","0.000399998","1612800","0.333333","ntoskrnl.exe","KeClockInterruptNotify","[Unknown]","0x14030f2c0"
"ExAcquirePushLockSharedEx","0.000399998","3225600","0.361111","ntoskrnl.exe","ExAcquirePushLockSharedEx","[Unknown]","0x140315160"
"KeSetEvent","0.000399998","537600","0.142857","ntoskrnl.exe","KeSetEvent","[Unknown]","0x140227340"
"func@0x14027d21a","0.000399998","3763200","0.2","ntoskrnl.exe","func@0x14027d21a","[Unknown]","0x14027d21a"
"func@0x1402a8238","0.000399998","4300800","0.257576","ntoskrnl.exe","func@0x1402a8238","[Unknown]","0x1402a8238"
"func@0x1405f8e00","0.000399998","1075200","0.205882","atc.sys","func@0x1405f8e00","[Unknown]","0x1405f8e00"
"NtWriteFile","0.000399998","537600","0.2","ntdll.dll","NtWriteFile","[Unknown]","0x180160470"
"stbi__stdio_read","0.000399998","2150400","0.05","kip_sequential_soa_profile.exe","stbi__stdio_read(void *, char *, int)","stb_image.h","0x14000ecb0"
"func@0x14026cf20","0.000399998","537600","0.2","ntoskrnl.exe","func@0x14026cf20","[Unknown]","0x14026cf20"
